actorName,actorMovieCount,actorAwardNominations,actorAwardWins
Nam Sang-mi,19,1,1
De'Adre Aziza,27,1,0
Jay Hernandez,48,4,0
Selena Khoo,8,0,0
Joseph Kaufmann,9,0,0
Vladimir Svirskiy,10,1,1
Robert Lowery,184,0,0
Marguerite Sundberg,7,0,0
Hal Hopper,32,0,0
Margarete Tiesel,44,1,1
Anna Cropper,100,0,0
Gene Wilder,37,10,7
James Benning,5,2,2
Dan Dailey,66,2,2
Monty Bane,38,0,0
Ariana Richards,28,5,4
Sayed Badreya,62,2,5
Fiona Perry,18,0,0
Master P,48,1,1
Abi Van Andel,14,0,0
Morgan Williams,3,0,0
Richard Anthony Crenna,21,0,0
Jane Elizabeth Barry,12,1,0
Grant Rosenmeyer,34,1,0
Sho Kosugi,19,0,0
Melora Walters,98,3,5
Barbra Streisand,24,46,44
Laurie Main,102,0,0
Kellita Smith,50,7,0
Peter Sallis,155,1,1
Michael Nyqvist,94,7,6
Anne-Marie Cadieux,48,4,1
Tomio Aoki,140,1,1
Sandra Samos,10,0,0
Lika Kavjaradze,26,0,0
Angéla Stefanovics,27,1,1
Vijay Deverakonda,17,2,2
Ginger Baker,2,0,0
Björn Bengtsson,45,0,0
Allison Anders,2,9,8
Ravshana Kurkova,33,1,0
Nick Nolte,102,37,14
Maj-Britt Nilsson,29,0,0
Alan Ladd,100,1,6
Ken'ichi Endô,230,0,0
Audrey Hamm,21,0,0
Charles Herbert,67,0,0
Ty Hickson,6,0,0
Ben Weber,32,0,0
Skye Bennett,24,1,1
Ushangi Chkheidze,3,1,1
Richie Andrusco,2,0,0
Álex González,28,4,1
Miranda July,11,16,25
Bujtor István,116,0,0
Boyan Milushev,7,0,0
Wu Chun,1,0,0
Valentina Cervi,55,4,2
Rodrigo Perdigão,4,2,0
Edvin Laine,35,3,4
Pablo Picasso,2,0,0
Devon Terrell,4,0,0
Bill Farmer,192,9,7
Andie MacDowell,68,9,10
Katharine Hepburn,53,40,28
Jakub Špalek,7,0,0
Jakub Gierszał,22,2,2
Nirup Bhandari,2,0,0
Brice Kennedy,10,0,0
Goro Abashiri,1,0,0
Michael Jordan,45,40,23
Jack Fjeldstad,58,1,1
Lambert Wilson,124,10,2
Emmanuelle Devos,83,13,10
Paul de Leeuw,19,3,3
Henri Garcin,123,0,0
Ethel Waters,29,2,1
Jessica Hahn,8,0,0
Flora Robson,69,3,3
Paul Cowderoy,1,0,0
Matt LeBlanc,32,31,6
Jacques Dutronc,44,3,3
Laurence Naismith,116,0,0
Mary Vivian Pearce,17,0,0
Carlo Ljubek,50,0,0
Joe Berlinger,3,30,78
Riisa Naka,60,4,4
Daria Nicolodi,37,2,1
Orlando Jones,69,4,0
M. Night Shyamalan,10,39,16
Rita-Maria Nowotny,6,0,0
Jimmy Hunt,40,0,0
Doran Godwin,20,0,0
Sheri Moon Zombie,17,1,3
Lukas Schwarz Thorsteinsson,7,0,0
Mike Colter,36,6,0
Matthew Miller,339,26,11
Jon Pertwee,71,0,0
Gastón Pauls,76,3,3
Michelle Jenner,49,11,10
Issei Miyazaki,17,0,0
Brian Robertson,2,2,1
Inka Haapamäki,1,0,0
Arnold Schwarzenegger,71,37,25
Sean Cameron Michael,88,1,4
Ruth Cracknell,42,2,4
Roman Madyanov,98,3,8
Diane Franklin,38,0,0
Abbie Cornish,39,24,14
Dmitro Milyutenko,30,2,2
Josie Ayers,4,0,0
Sophie Nélisse,19,4,7
Pat Healy,107,2,6
Brendan Michael Coughlin,16,0,0
Robert Lyons,105,0,0
Bruce Newbold,41,0,0
Vsevolod Sanayev,73,2,2
Emma Bolger,6,7,2
Christopher Gorham,53,3,1
Tim Haars,25,6,6
Miranda Rhyne,6,2,2
Olavi Uusivirta,18,0,0
Lorie Pester,11,0,0
Amy Acker,51,5,4
Armando Espitia,13,0,0
Hannah Herzsprung,55,6,13
Patty McCormack,151,2,2
Yuri Nakamura,87,0,0
Judy Reyes,67,13,3
Mai Zetterling,61,5,3
Gabriel Diani,17,4,7
Edward Akrout,31,0,0
Luke Goss,56,3,1
Brooke Kinsella,27,0,0
Paul Scofield,41,13,12
Ryan Daugherty,1,0,0
DMX,32,9,1
Howie Mandel,64,8,3
Gayle Wells,4,0,0
Paul Hamy,28,3,1
Cathy Podewell,13,1,0
Zachary Soetenga,9,0,0
Juli Básti,55,1,1
Sydne Rome,58,0,0
Arseniy Bibikov,19,0,0
Mary McDonnell,52,13,6
Gregori Baquet,27,0,0
Tom Skerritt,168,11,7
Sergio Corrieri,11,1,1
August Diehl,56,9,11
Zach Galifianakis,72,37,22
Marlies Heuer,29,0,0
Drake Bell,103,3,9
Kirk Jones,83,0,0
Nichole Hiltz,46,0,0
Juhan Ulfsak,33,0,0
Lanny Ross,8,0,0
Marshall Grauer,1,0,0
Ira von Fürstenberg,30,1,1
Michael Stephenson,8,1,2
Hiroaki Iwanaga,37,0,0
Beau Mirchoff,32,1,1
Eric Freeman,6,0,0
Brendan Patricks,40,0,0
J. Andrew Keitch,2,0,0
Sean Maher,40,1,0
Nick Blood,24,0,0
Georgi Burkov,105,1,1
Lex Marinos,35,0,0
Kristen Bell,94,39,12
Yōko Honna,28,0,0
Sophie Linfield,30,0,0
Kôji Moritsugu,59,0,0
Morgan McClellan,8,0,0
Johannes Grenzfurthner,15,15,28
Maria Bonnevie,31,6,6
Tory Kittles,40,1,1
Eddie Vedder,12,18,1
Danny Gutierrez,4,0,0
Chevy Chase,94,9,11
Kurt Krömer,14,1,2
Charles George Hildebrandt,1,0,0
Leon Schuster,20,0,0
David Chiang,139,2,2
Sergey Puskepalis,24,8,9
J. Stuart Blackton,31,0,0
Robert Elston,10,0,0
Omar Chaparro,36,0,0
Hannah Cagwin,1,0,0
Tom Sturridge,23,0,0
Common,62,47,18
Sandra Louise Douglas,1,0,0
Christy Turlington,3,0,0
Cesare Danova,113,0,0
Chuck Connors,135,2,2
Alex Michaeletos,1,0,0
Park Han-byul,1,0,0
Cheryl Dunye,7,5,9
Lyle Alzado,27,0,0
Nigel Davenport,129,0,0
Elke Sommer,102,7,2
Henry Cavill,24,12,2
Harley Venton,38,0,0
Semyon Farada,68,1,1
Sofia Georgovassili,8,2,2
Pete Penuel,11,0,0
Aki Avni,39,1,1
Bernhard Bettermann,63,1,0
Golshifteh Farahani,42,8,5
Linda Miller,29,0,0
Kirsten Prout,41,0,0
Lyudmila Saveleva,20,1,1
Louise Linton,19,0,0
Norman Kerry,66,1,1
Silvia Monfort,33,0,0
Uwe Bohm,110,2,2
Kirk Cameron,40,8,11
Kim Min-hee,25,11,11
Matthew Daddario,10,6,3
Kenny Rogers,24,5,4
Allen Wagner,1,0,0
Miki Nakatani,64,6,6
Moon Geun-Young,17,4,6
John Malkovich,115,43,27
Seth MacFarlane,55,57,23
Frederick Stafford,17,0,0
Lothaire Bluteau,56,2,2
Chuck Sklar,10,5,1
Mikhail Skryabin,3,1,0
Ann Dusenberry,47,0,0
Lynn Whitfield,100,16,10
Matthew Currie Holmes,40,13,12
Rachel Keller,10,0,0
John Turturro,107,32,20
Tihana Lazović,18,2,2
Johanna Wokalek,24,7,6
Dieter Hallervorden,91,1,10
Emanuele Bosi,18,1,1
Sergi López,87,22,18
Tatsuya Nakadai,159,3,7
Delphine Schiltz,3,0,0
Eric Bossick,13,0,0
Christian Slater,124,18,8
Jason Flemyng,128,4,0
Kane Kosugi,31,0,0
Chris William Martin,78,2,1
Roberto Sosa,144,5,8
V.I. Lenin,1,0,0
Emmanuelle Chriqui,81,9,1
Demetri Martin,23,2,3
Chelsea Hobbs,39,1,0
Kellie Martin,88,7,7
Albert Brooks,39,34,29
Tate Donovan,108,12,5
Shane Van Dyke,12,0,0
Kelen Coleman,49,0,0
Virna Lisi,116,7,23
Thomas Ian Nicholas,63,4,6
Éric Caravaca,74,5,2
Perla Haney-Jardine,10,4,0
Fatoumata Coulibaly,6,1,2
Shawn Phelan,16,0,0
Rebecca Smith,1,0,0
Jill Wagner,22,0,0
Farley Granger,85,1,1
John Phillip Law,85,2,1
Dolph Lundgren,89,3,3
Usher Raymond,59,48,13
Gaël Morel,7,3,2
Lin Kun-huei,1,0,0
Mina Adamaki,21,0,0
Drew Struzan,2,1,2
Shirley Stoler,41,0,0
Lauren Cohan,32,3,0
Richard Kiel,78,1,0
Alexandra Lencastre,78,6,7
Aharon Traitel,1,1,1
Anatole Taubman,107,1,0
Michael Nathanson,34,0,0
Tauno Palo,85,3,3
François Truffaut,16,27,34
Iris Ponkina,1,0,0
Amanda Pilke,9,3,3
Nihat Alptuğ Altınkaya,11,0,0
Stian Smestad,1,1,0
Julia Migenes,18,2,2
Alex House,43,1,1
Lohanan Teerapat,2,0,0
Cam Clarke,383,3,1
Johanna Braddy,55,2,2
Rick Okon,51,4,2
Isabella Calthorpe,9,0,0
Martha Higareda,51,3,4
Jens Albinus,45,2,2
Rami Doueiri,2,0,0
Hugh O'Brian,114,3,3
Brad Hunt,45,1,1
George Gaynes,89,1,0
Aki Asakura,32,0,0
Habbas Alijome,1,0,0
Lena Kostyuk,1,1,1
Christian Camargo,53,3,3
Lara Wendel,29,0,0
Alexei Dolinin,6,0,0
Hashizo Okawa,66,0,0
Steven Vidler,60,2,1
Jonathan Velasquez,4,0,0
Alesandra Durham,12,0,0
Bharat Jadhav,74,0,0
Bridey Elliott,29,3,2
Bert Sotlar,56,0,0
Chris Riggi,34,0,0
K.C. Clyde,52,0,0
Paul Gunning,10,0,0
Alexa PenaVega,91,12,4
Ingolf Lück,48,1,1
Charles Lane,370,1,1
Mohammad Bakri,57,5,4
Dylan Bruce,24,0,0
Hidetoshi Nishijima,93,3,3
Hallee Hirsh,59,5,2
Yekaterina Golubeva,29,0,0
John Smihula,6,0,0
Hedy Burress,69,1,0
Lauren Walsh,11,0,0
George McCann,1,0,0
Taavi Eelmaa,31,0,0
Bella Thorne,80,23,7
D.J. Mendel,14,0,0
Lady Tabares,1,3,3
Maria Bello,66,21,20
Leehom Wang,25,2,1
Eddie Marsan,119,20,9
Tony Curtis,130,20,20
Claus Nissen,74,0,0
Nicola Posener,50,1,1
Aleksandr Yatsenko,38,7,10
Cortney Palm,56,2,0
Mehcad Brooks,31,5,2
April Telek,119,5,2
Malcolm Stoddard,51,1,0
Malte Aronsson,9,0,0
Doris Day,43,23,26
Georgina Verbaan,64,3,4
Olivia Tykocki,3,0,0
Claude Perron,51,0,0
Jordi Vilches,47,3,1
Heather Sears,27,2,2
Robert Wuhl,41,5,2
Glory Annen,12,0,0
Mircea Postelnicu,4,0,0
Riccardo Leonelli,10,0,0
Maro Kodou,75,0,0
Kelly Overton,41,3,3
Marlon Wayans,40,17,5
Belinda Carlisle,14,0,0
Brendan Mackey,19,0,0
Steve Zissis,34,0,0
Darren Criss,37,18,7
Margherita Buy,73,22,42
Akira Yamauchi,63,0,0
Mélanie Laurent,44,29,19
Jeff Bennett,514,28,6
Tony Ramos,83,33,31
Nick Nemeth,41,0,0
Elsbeth Sigmund,3,0,0
Ana Ofelia Murguía,98,11,8
Blythe Danner,111,23,8
Max Records,8,6,2
Chantal Contouri,36,1,1
Erika Sawajiri,31,2,4
Pyotr Mamonov,15,3,4
Dragoș Bucur,49,6,6
Megumi Ogata,122,0,0
Lauren Holly,97,14,4
Madhabi Mukherjee,84,0,0
Mary Margaret O'Hara,12,0,0
Jody Daniels,7,0,0
Bolot Beyshenaliev,57,0,0
Eugen Klöpfer,86,0,0
Peter Simonischek,76,10,9
Douglas Smith,53,1,2
Noée Abita,6,0,0
Larisa Luzhina,65,1,1
Lucas Belvaux,46,26,10
Sarah Thompson,37,0,0
Daisy Lowe,10,1,1
Lee Sun-kyun,1,0,0
Sven Nykvist,3,17,18
