,Actor
0,Ja Rule
1,Luke Wilson
2,Rob Brown
3,Luc Picard
4,Frank Langella
5,Kitana Kiki Rodriguez
6,Jason Statham
7,Rebecca Romijn
8,Daniel Craig
9,Michael Landon
10,Hyun Bin
11,Skeet Ulrich
12,Daniel Brühl
13,Harvey Keitel
14,Chris Messina
15,Lucas Till
16,Hans Matheson
17,Paulette Goddard
18,Sergei Bezrukov
19,John Gilbert
20,Paul Scofield
21,Morris Chestnut
22,Matthias Hungerbühler
23,Norman Wisdom
24,Jenna Elfman
25,Fouad Habash
26,Antonio Banderas
27,Mae Whitman
28,Michael Beck
29,Colin Firth
30,Isiah Thomas
31,Ben Weber
32,Sanjeev Kumar
33,Dan Zukovic
34,Victoria Beckham
35,Clifton Webb
36,Thomas Haden Church
37,Adrienne Pickering
38,Hallee Hirsh
39,Isabella Rossellini
40,Frederick Stafford
41,Lambert Wilson
42,Russell Harvard
43,Lee Horsley
44,Melissa Rauch
45,Marijn De Valck
46,Magdalena Mielcarz
47,Valentinas Masalskis
48,Selena Gomez
49,Cotter Smith
50,Eriq La Salle
51,Josh Hartnett
52,Ed Begley Jr.
53,Paul Eenhoorn
54,Andrew Dice Clay
55,Benjamin Lutzke
56,Martin Balsam
57,Paul Anderson
58,Anne Bancroft
59,Christina Applegate
60,Matilda Anna Ingrid Lutz
61,Linh Đan Phạm
62,Ed Gale
63,Henry Silva
64,Jon Voight
65,Alex Vincent
66,Gene Hackman
67,Emma Bell
68,Alain Delon
69,Emmanuelle Chriqui
70,Briana Evigan
71,Zoe Kazan
72,M.L. Piyapas Bhirombhakdi
73,Brendan Fletcher
74,Shu Qi
75,Jeremy Renner
76,Garik Kharlamov
77,Stacy Keach
78,Charles Berling
79,Robert Pattinson
80,William Daniels
81,Marilyn Monroe
82,Christian Slater
83,Justin Bieber
84,Premsinee Ratanasopha
85,Frank Sinatra
86,Jason Flemyng
87,Zhang Hanyu
88,Josie Ayers
89,Sacha Baron Cohen
90,Jamie Foxx
91,Heather Langenkamp
92,Alessio Boni
