,actorName,actorMovieCount,actorAwardNominations,actorAwardWins
511,Ja Rule,40,7,0
2630,Luke Wilson,77,4,10
900,Rob Brown,14,5,4
2197,Luc Picard,56,10,6
3279,Frank Langella,101,45,12
3157,Kitana Kiki Rodriguez,1,6,1
1290,Jason Statham,49,3,1
2748,Rebecca Romijn,52,9,3
4206,Daniel Craig,73,31,15
3347,Michael Landon,59,5,8
976,Hyun Bin,21,1,2
1580,Skeet Ulrich,42,1,3
3298,Daniel Brühl,71,27,24
2747,Harvey Keitel,154,19,26
2187,Chris Messina,58,11,3
2436,Lucas Till,39,4,0
2005,Hans Matheson,30,0,0
4218,Paulette Goddard,66,2,2
1950,Sergei Bezrukov,52,7,3
1876,John Gilbert,101,1,1
134,Paul Scofield,41,13,12
2937,Morris Chestnut,51,5,2
1039,Matthias Hungerbühler,13,0,0
1846,Norman Wisdom,45,2,2
2762,Jenna Elfman,59,18,4
1162,Fouad Habash,1,1,0
1957,Antonio Banderas,110,41,41
2344,Mae Whitman,148,30,9
1094,Michael Beck,43,2,0
953,Colin Firth,84,56,67
3755,Isiah Thomas,3,0,0
48,Ben Weber,32,0,0
1338,Sanjeev Kumar,166,1,3
1206,Dan Zukovic,36,6,5
1811,Victoria Beckham,17,5,3
4086,Clifton Webb,27,4,5
2981,Thomas Haden Church,66,21,30
3784,Adrienne Pickering,24,0,0
320,Hallee Hirsh,59,5,2
2901,Isabella Rossellini,87,17,12
225,Frederick Stafford,17,0,0
72,Lambert Wilson,124,10,2
2216,Russell Harvard,14,0,0
3610,Lee Horsley,32,2,2
1713,Melissa Rauch,26,10,0
1267,Marijn De Valck,34,0,0
1303,Magdalena Mielcarz,14,0,0
687,Valentinas Masalskis,28,1,1
1441,Selena Gomez,85,44,40
1501,Cotter Smith,88,0,0
2048,Eriq La Salle,57,18,10
398,Josh Hartnett,46,17,3
2505,Ed Begley Jr.,313,11,3
1472,Paul Eenhoorn,40,2,2
706,Andrew Dice Clay,39,4,1
1648,Benjamin Lutzke,6,1,2
2605,Martin Balsam,176,5,3
772,Paul Anderson,30,0,0
699,Anne Bancroft,86,39,15
1666,Christina Applegate,77,27,17
3393,Matilda Anna Ingrid Lutz,14,0,0
637,Linh Đan Phạm,30,1,1
1930,Ed Gale,58,0,0
746,Henry Silva,138,0,0
2475,Jon Voight,98,35,25
1863,Alex Vincent,14,1,0
1034,Gene Hackman,100,41,32
421,Emma Bell,39,2,1
2074,Alain Delon,107,4,11
248,Emmanuelle Chriqui,81,9,1
1208,Briana Evigan,37,1,3
2488,Zoe Kazan,30,11,5
1488,M.L. Piyapas Bhirombhakdi,1,0,0
2905,Brendan Fletcher,121,10,8
4198,Shu Qi,86,28,12
4233,Jeremy Renner,55,59,35
808,Garik Kharlamov,21,1,1
2899,Stacy Keach,211,9,7
