,0
0,Ami Ayalon
1,Valeriya Lanskaya
2,Andrew Divoff
3,Mike Maas
4,RaÌ¼l JuliÌÁ
5,Billy Connolly
6,Campbell Scott
7,Pierre Niney
8,Shari Albert
9,Michael Pitt
10,Sonny Bono
11,Martin Speer
12,Virginia Mayo
13,Adam Rayner
14,Neil Patrick Harris
15,Lon Chaney
16,Ralph Fiennes
17,Mannara Chopra
18,Jocelin Donahue
19,Orson Welles
20,Kim Rossi Stuart
21,Steven Bauer
22,Shane McDermott
23,Colin Farrell
24,Gemma Arterton
25,William Gillette
26,Kari Heiskanen
27,Hayley Orrantia
28,Trey Parker
29,Paul Michael LÌ©vesque
30,Bud Abbott
31,Mena Suvari
32,Riz Ahmed
33,Shabana Azmi
34,Linda Blair
35,Mads Mikkelsen
36,Francesc Colomer
37,Juliane KÌ¦hler
38,Jon Foster
39,Carla Gugino
40,Kelan Pannell
41,LudÝk Munzar
42,Micheal Catalano
43,Jerry Springer
44,Zachary Levi
45,Chadwick Boseman
46,Fransisco Arruda
47,Charlie Tahan
48,Marki Bey
49,Margaret Colin
50,Peter Dinklage
51,James Ransone
52,JoaquÌ_n Cosio
53,Gary Cooper
54,Stephen Nichols
55,Steve Guttenberg
56,Fabio De Luigi
57,Bill Maher
58,Johnny Yong Bosch
59,Emily Barclay
60,Basil Rathbone
61,Vladimir Mashkov
62,Olga Sutulova
63,Ingvar Eggert SigurÌ¡sson
64,Maz Jobrani
65,Om Puri
66,Kurt Thomas
67,Fred Ward
68,Merle Oberon
69,Tom Payne
70,William Hurt
71,Angela Bettis
72,Grant Bardsley
73,John Mills
74,Barret Oliver
75,Jack Mulhall
76,Maren Ade
77,Kuno Becker
78,Morgan Spurlock
79,Zac Efron
80,Anthony Quinn
81,Nicolas Cage
82,George Clooney
83,Vern Stierman
84,Pete Postlethwaite
85,Shameik Moore
86,Stephen Lack
87,Michael Ealy
88,Al Gore
89,Denis Nikiforov
90,Joseph E. Murray
91,David Keith
92,Amanda Bynes
93,Alina Babak
94,Audie Murphy
95,Charles Grodin
96,Vishnu Vishal
97,Jamie Chung
98,Philip Seymour Hoffman
99,Maximilian Schell
100,Svetlana Khodchenkova
101,John Magaro
102,Benjamin Bratt
103,Dmitriy Sharakois
104,Ben Kingsley
105,Kim Hye-ja
106,Will Arnett
107,Madeline Carroll
108,Shailene Woodley
109,Christian Bale
110,Roma Downey
111,Hwang Jung-min
112,Silvio Berlusconi
113,Dulquer Salmaan
114,Heather Beers
115,"""Jack OConnell"""
116,Fumiyo Kohinata
117,James Spader
118,Ananda Everingham
119,Anessa Ramsey
120,Katie Jarvis
121,Andy GarcÌ_a
122,Patrick Warburton
123,Franka Potente
124,Jake Hoffman
125,"""Scott Carrot Top Thompson"""
126,Ulrich MÌ_he
127,Will Shortz
128,Varun Sandesh
129,Ashley Olsen
130,Blake Woodruff
131,Nikola Rakoevià
132,Emilie de Ravin
133,Leonid Bichevin
134,Emo Philips
135,Martina Gedeck
136,Edith Meeks
137,Kevin Bernhardt
138,Naseeruddin Shah
139,Mabel Normand
140,Ajay Devgn
141,Lois Alexander
142,Michael Caton
143,Lisa Ann
