id,director,actors
862,['John Lasseter'],['Tom Hanks']
8844,['Joe Johnston'],['Robin Williams']
15602,['Howard Deutch'],['Walter Matthau']
31357,['Forest Whitaker'],['Whitney Houston']
11862,['Charles Shyer'],['Steve Martin']
949,['Michael Mann'],['Al Pacino']
11860,['Sydney Pollack'],['Harrison Ford']
45325,['Peter Hewitt'],['Jonathan Taylor Thomas']
9091,['Peter Hyams'],['Jean-Claude Van Damme']
710,['Martin Campbell'],['Pierce Brosnan']
9087,['Rob Reiner'],['Michael Douglas']
12110,['Mel Brooks'],['Leslie Nielsen']
21032,['Simon Wells'],['Kevin Bacon']
10858,['Oliver Stone'],['Anthony Hopkins']
1408,['Renny Harlin'],['Geena Davis']
524,['Martin Scorsese'],['Robert De Niro']
4584,['Ang Lee'],['Kate Winslet']
5,"['Allison Anders', 'Alexandre Rockwell', 'Robert Rodriguez', 'Quentin Tarantino']",['Tim Roth']
9273,['Steve Oedekerk'],['Jim Carrey']
11517,['Joseph Ruben'],['Wesley Snipes']
8012,['Barry Sonnenfeld'],['John Travolta']
1710,['Jon Amiel'],['Sigourney Weaver']
9691,['Richard Donner'],['Sylvester Stallone']
12665,['Victor Salva'],['Mary Steenburgen']
451,['Mike Figgis'],['Nicolas Cage']
16420,['Oliver Parker'],['Laurence Fishburne']
9263,['Lesli Linka Glatter'],['Christina Ricci']
17015,['Roger Michell'],['Amanda Root']
902,"['Jean-Pierre Jeunet', 'Marc Caro']",['Ron Perlman']
37557,['Zhang Yimou'],['Gong Li']
9909,['John N. Smith'],['Michelle Pfeiffer']
63,['Terry Gilliam'],['Bruce Willis']
78802,['Jean-Jacques Annaud'],['Craig Sheffer']
9598,['Chris Noonan'],['Christine Cavanaugh']
47018,['Christopher Hampton'],['Emma Thompson']
687,['Tim Robbins'],['Susan Sarandon']
139405,['Stephen Low'],['Peter Reznick']
33689,['Andy Tennant'],['Kirstie Alley']
9603,['Amy Heckerling'],['Alicia Silverstone']
34615,['Darrell James Roodt'],['James Earl Jones']
31174,['Richard Loncraine'],['Ian McKellen']
11443,"['Albert Hughes', 'Allen Hughes']",['Larenz Tate']
35196,['Michael Hoffman'],['Robert Downey Jr.']
9312,['Paul W.S. Anderson'],['Christopher Lambert']
577,['Gus Van Sant'],['Nicole Kidman']
11861,['Jocelyn Moorhouse'],['Winona Ryder']
807,['David Fincher'],['Brad Pitt']
10530,"['Mike Gabriel', 'Eric Goldberg']",['Irene Bedard']
8391,['Patricia Rozema'],['Pascale Bussières']
629,['Bryan Singer'],['Stephen Baldwin']
117164,['Richard W. Munchkin'],['Cynthia Rothrock']
11448,['Woody Allen'],['Woody Allen']
49133,['Gianni Amelio'],['Enrico Lo Verso']
26441,['Holly Goldberg Sloan'],['Steve Guttenberg']
97406,['Ulu Grosbard'],['Jennifer Jason Leigh']
124057,['Robert Tinnell'],['Johnny Morina']
9089,['Jodie Foster'],['Holly Hunter']
11010,['Michael Radford'],['Philippe Noiret']
99040,['Robert Lepage'],['Lothaire Bluteau']
11359,['Frank Oz'],['Hal Scardino']
17182,['John Schlesinger'],['Sally Field']
2054,['Stephen Herek'],['Richard Dreyfuss']
10607,['Paris Barclay'],['Shawn Wayans']
19760,['Bill Bennett'],['Sandra Bullock']
9536,['Jason Bloom'],['Pauly Shore']
11525,['Farhad Mann'],['Patrick Bergin']
40628,['James Foley'],['Jerry Barone']
4482,['Josiane Balasko'],['Victoria Abril']
10634,['F. Gary Gray'],['Ice Cube']
755,['Robert Rodriguez'],['George Clooney']
11859,['Andrew Sipes'],['William Baldwin']
28387,['Noah Baumbach'],['Josh Hamilton']
48750,['Claude Lelouch'],['Jean-Paul Belmondo']
20927,['Michael Goldenberg'],['Christian Slater']
36929,['Steve Miner'],['Rick Moranis']
9102,['Christian Duguay'],['Peter Weller']
124626,['Susanne Ofteringer'],['Nico']
27526,['Sean Penn'],['Jack Nicholson']
9623,['Brian Gibson'],['Demi Moore']
46785,['Jafar Panahi'],['Aida Mohammadkhani']
400,['Gary Fleder'],['Andy García']
880,['Marleen Gorris'],['Willeke van Ammelrooy']
146599,['Tim Reid'],"['Al Freeman, Jr.']"
188588,['Henry Jaglom'],['Victoria Foyt']
8447,['Philip Haas'],['Mark Rylance']
10534,['Ridley Scott'],['Jeff Bridges']
17414,['Ken Kwapis'],['Jason Alexander']
13997,['Penelope Spheeris'],['Chris Farley']
2086,['John Badham'],['Johnny Depp']
61548,['John Duigan'],['Jason Patric']
9095,['Stephen Frears'],['Julia Roberts']
12158,['Wes Craven'],['Eddie Murphy']
9283,['Ted Demme'],['Matt Dillon']
9208,['John Woo'],['John Travolta']
40154,['Kenneth Branagh'],['Richard Briers']
406,['Mathieu Kassovitz'],['Vincent Cassel']
45549,['Paul W.S. Anderson'],['Sadie Frost']
63076,['Nick Broomfield'],['Nick Broomfield']
11062,['Harold Becker'],['Al Pacino']
13685,['Wes Anderson'],['Luke Wilson']
47475,['Nick Castle'],['Ellen DeGeneres']
2045,['John Dahl'],['Ray Liotta']
9614,['Dennis Dugan'],['Adam Sandler']
688,['Clint Eastwood'],['Meryl Streep']
11907,['Doris Dörrie'],['Maria Schrader']
10874,['Brian Henson'],['Tim Curry']
89333,['Robert Leacock'],['Christy Turlington']
96357,['James Bruce'],['Raymond J. Barry']
197,['Mel Gibson'],['Mel Gibson']
103,['Martin Scorsese'],['Robert De Niro']
33542,['Stanley Tong'],['Jackie Chan']
43566,['Barbet Schroeder'],['Meryl Streep']
71754,['Mort Ransen'],['Helena Bonham Carter']
43612,['Étienne Chatiliez'],['Michel Serrault']
51352,['Jon Blair'],['Kenneth Branagh']
16934,['Benjamin Ross'],['Tobias Arnold']
10324,['Eric Schaeffer'],['Sarah Jessica Parker']
78406,['Andrew Davis'],['Andy García']
55731,['Charles T. Kanganis'],['Halle Berry']
32119,['John N. Smith'],['Henry Czerny']
11066,['Reginald Hudlin'],['Eddie Murphy']
11104,['Wong Kar-wai'],['Brigitte Lin']
37975,['Giuseppe Tornatore'],['Sergio Castellitto']
2074,['David O. Russell'],['Ben Stiller']
27793,['Peter MacDonald'],['Jason James Richter']
44284,['Moufida Tlatli'],['Amel Hedhili']
290157,['Michel Negroponte'],['Maggie Cogan']
