actorName,actorMovieCount,actorAwardNominations,actorAwardWins
Peter Sellers,87,20,12
Patrick Fugit,34,16,4
Max Irons,17,0,0
Jung Suh,6,2,2
Demián Bichir,85,17,9
Tom Hulce,31,10,5
Joseph Kaufmann,9,0,0
Sean Connery,93,29,38
Morris Chestnut,51,5,2
Cate Blanchett,70,187,152
Katie Featherston,14,2,1
Greta Gerwig,40,141,36
Karin Bertling,63,1,1
Takuya Kimura,53,2,3
Rebecca Gomperts,1,0,0
Catalina Sandino Moreno,31,12,18
Miou-Miou,94,11,2
Leonor Varela,53,3,3
Tim Allen,50,35,23
Basil Rathbone,126,5,5
Kirk Douglas,94,25,34
"""Emily Roya OBrien""",1,0,0
Bryan Cranston,153,87,52
Sofía Espinosa,34,2,2
Mark Strano,18,1,1
Alexander Nevsky,11,0,0
Benjamin Bratt,66,16,13
Cole Hauser,50,1,1
Katie Cassidy,34,3,1
Martin Short,98,43,11
Jeanne Crain,2,0,0
Witney Carson,1,0,0
Chris Pratt,50,32,16
Frank Grillo,69,2,0
Madlen Dzhabrailova,19,2,0
Wu Jing,37,8,2
Alessio Boni,62,6,8
Melih Selçuk,12,1,1
Jean Simmons,95,18,11
Alev Uçarer,4,0,0
Dee Wallace,241,6,6
Michelle Krusiec,84,1,2
Rossano Brazzi,155,1,0
Patrick Bergin,111,3,1
Tye Sheridan,21,14,8
"""Ed ONeill""",67,21,12
Regina Hall,52,8,2
Anessa Ramsey,17,0,0
Robert Glaudini,20,1,0
Kim Seung-woo,22,9,7
Max Records,8,6,2
Patrick Dempsey,68,21,10
Paul Reubens,111,23,9
Stephen Lack,11,2,0
Shehzad Sheikh,9,0,0
Lucas Black,26,10,3
Cuba Gooding Jr.,85,43,17
Reina Triendl,28,1,1
Rod Steiger,148,18,23
Sacha Baron Cohen,48,38,26
Norah Jones,10,9,9
Claire Danes,43,54,42
Michelle Morgan,27,1,0
Maria Bello,66,21,20
Jason Sudeikis,64,7,1
Ernst-Hugo Järegård,70,1,3
Oliver Masucci,35,3,1
Olivia Wilde,55,13,5
Edie Falco,61,74,24
Val Kilmer,98,13,6
Patrick Swayze,51,11,10
Presley Chweneyagae,12,3,3
Luke Perry,95,6,2
Aki Asakura,32,0,0
Prabhas,23,12,2
John Taylor,27,1,0
Charles Coburn,98,3,3
Andy McAvin,84,5,0
Mira Sorvino,94,21,17
Romain Duris,52,13,5
Scott Elrod,31,0,0
Nazriya Nazim,14,2,3
Michael Gambon,170,19,20
Maria Poezhaeva,7,1,1
Ivan Okhlobystin,54,3,4
David Hewlett,90,3,1
Sarah Jessica Parker,62,49,29
Billy Connolly,71,9,4
