title,original_title,budget,revenue,profit,success,belongs_to_collection,count_language,runtime,genre,genre_encode,genres,release_date,director,actors
Toy Story,Toy Story,30000000,373554033.0,343554033.0,1,1,1,81.0,Animation,2,"Animation,Comedy,Family",1995-10-30,John Lasseter,Tom Hanks
Jumanji,Jumanji,65000000,262797249.0,197797249.0,1,0,2,104.0,Adventure,1,"Adventure,Fantasy,Family",1995-12-15,Joe Johnston,Robin Williams
Waiting to Exhale,Waiting to Exhale,16000000,81452156.0,65452156.0,1,0,1,127.0,Comedy,3,"Comedy,Drama,Romance",1995-12-22,Forest Whitaker,Whitney Houston
Heat,Heat,60000000,187436818.0,127436818.0,1,0,2,170.0,Action,0,"Action,Crime,Drama,Thriller",1995-12-15,Michael Mann,Al Pacino
Sudden Death,Sudden Death,35000000,64350171.0,29350171.0,1,0,1,106.0,Action,0,"Action,Adventure,Thriller",1995-12-22,Peter Hyams,Jean-Claude Van Damme
GoldenEye,GoldenEye,58000000,352194034.0,294194034.0,1,1,3,130.0,Adventure,1,"Adventure,Action,Thriller",1995-11-16,Martin Campbell,Pierce Brosnan
The American President,The American President,62000000,107879496.0,45879496.0,1,0,1,106.0,Comedy,3,"Comedy,Drama,Romance",1995-11-17,Rob Reiner,Michael Douglas
Nixon,Nixon,44000000,13681765.0,-30318235.0,0,0,1,192.0,History,10,"History,Drama",1995-12-22,Oliver Stone,Anthony Hopkins
Cutthroat Island,Cutthroat Island,98000000,10017322.0,-87982678.0,0,0,2,119.0,Action,0,"Action,Adventure",1995-12-22,Renny Harlin,Geena Davis
Casino,Casino,52000000,116112375.0,64112375.0,1,0,1,178.0,Drama,6,"Drama,Crime",1995-11-22,Martin Scorsese,Robert De Niro
Sense and Sensibility,Sense and Sensibility,16500000,135000000.0,118500000.0,1,0,1,136.0,Drama,6,"Drama,Romance",1995-12-13,Ang Lee,Kate Winslet
Four Rooms,Four Rooms,4000000,4300000.0,300000.0,1,0,1,98.0,Crime,4,"Crime,Comedy",1995-12-09,Allison Anders,Tim Roth
Ace Ventura: When Nature Calls,Ace Ventura: When Nature Calls,30000000,212385533.0,182385533.0,1,1,1,90.0,Crime,4,"Crime,Comedy,Adventure",1995-11-10,Steve Oedekerk,Jim Carrey
Money Train,Money Train,60000000,35431113.0,-24568887.0,0,0,1,103.0,Action,0,"Action,Comedy,Crime",1995-11-21,Joseph Ruben,Wesley Snipes
Get Shorty,Get Shorty,30250000,115101622.0,84851622.0,1,1,1,105.0,Comedy,3,"Comedy,Thriller,Crime",1995-10-20,Barry Sonnenfeld,John Travolta
Assassins,Assassins,50000000,30303072.0,-19696928.0,0,0,3,132.0,Action,0,"Action,Adventure,Crime,Thriller",1995-10-06,Richard Donner,Sylvester Stallone
Leaving Las Vegas,Leaving Las Vegas,3600000,49800000.0,46200000.0,1,0,1,112.0,Drama,6,"Drama,Romance",1995-10-27,Mike Figgis,Nicolas Cage
Now and Then,Now and Then,12000000,27400000.0,15400000.0,1,0,1,100.0,Comedy,3,"Comedy,Drama,Family",1995-10-20,Lesli Linka Glatter,Christina Ricci
The City of Lost Children,La Cité des Enfants Perdus,18000000,1738611.0,-16261389.0,0,0,2,108.0,Fantasy,8,"Fantasy,Science Fiction,Adventure",1995-05-16,Jean-Pierre Jeunet,Ron Perlman
Twelve Monkeys,Twelve Monkeys,29500000,168840000.0,139340000.0,1,0,2,129.0,Science Fiction,15,"Science Fiction,Thriller,Mystery",1995-12-29,Terry Gilliam,Bruce Willis
Babe,Babe,30000000,254134910.0,224134910.0,1,1,1,89.0,Fantasy,8,"Fantasy,Drama,Comedy,Family",1995-07-18,Chris Noonan,Christine Cavanaugh
Dead Man Walking,Dead Man Walking,11000000,39363635.0,28363635.0,1,0,1,122.0,Drama,6,Drama,1995-12-29,Tim Robbins,Susan Sarandon
Mortal Kombat,Mortal Kombat,18000000,122195920.0,104195920.0,1,1,1,101.0,Action,0,"Action,Fantasy",1995-08-18,Paul W.S. Anderson,Christopher Lambert
To Die For,To Die For,20000000,21284514.0,1284514.0,1,0,1,106.0,Fantasy,8,"Fantasy,Drama,Comedy,Thriller",1995-05-20,Gus Van Sant,Nicole Kidman
How To Make An American Quilt,How To Make An American Quilt,10000000,23574130.0,13574130.0,1,0,1,116.0,Drama,6,"Drama,Romance",1995-10-06,Jocelyn Moorhouse,Winona Ryder
Se7en,Se7en,33000000,327311859.0,294311859.0,1,0,1,127.0,Crime,4,"Crime,Mystery,Thriller",1995-09-22,David Fincher,Brad Pitt
Pocahontas,Pocahontas,55000000,346079773.0,291079773.0,1,1,1,81.0,Adventure,1,"Adventure,Animation,Drama,Family",1995-06-14,Mike Gabriel,Irene Bedard
The Usual Suspects,The Usual Suspects,6000000,23341568.0,17341568.0,1,0,4,106.0,Drama,6,"Drama,Crime,Thriller",1995-07-19,Bryan Singer,Stephen Baldwin
Mighty Aphrodite,Mighty Aphrodite,15000000,6700000.0,-8300000.0,0,0,1,95.0,Comedy,3,"Comedy,Romance",1995-09-13,Woody Allen,Woody Allen
