directorName,directorMovieCount,directorAwardNominations,directorAwardWins
Henry Hathaway,67,6,9
Benedikt Erlingsson,1,0,0
Becky Smith,16,2,6
Drew Heriot,5,0,0
Jorge Blanco,1,1,1
Dennis Hopper,9,17,25
Luc Jacquet,8,10,5
Steve Martino,9,7,1
Christopher Nolan,14,218,138
Davis Guggenheim,38,15,19
Tom Schulman,1,5,3
Jan Pinkava,5,6,11
David Hackl,6,1,0
Subhash Ghai,21,2,4
Ringo Lam,26,9,2
Carl Franklin,32,11,11
Wesley Strick,3,4,1
David Duchovny,5,48,13
Colin Nutley,26,3,9
Andrew Traucki,7,3,1
Fenton Bailey,28,23,13
Bryan Buckley,12,5,9
Henning Carlsen,23,7,6
John Mellencamp,2,2,0
Karel Zeman,32,1,4
Emile Ardolino,15,22,9
Anees Bazmee,15,1,1
Ash Brannon,5,5,3
Geoff Moore,1,0,0
Pat Bermel,1,2,0
Alan Yuen,4,2,0
Stan Winston,6,41,27
Goran Dukic,9,6,13
Pawan Kumar,4,3,1
Michael Cohn,4,2,2
Bo Welch,4,16,7
F. Javier Gutiérrez,6,10,18
Lexi Alexander,13,4,4
Jörn Donner,35,5,8
Curt Hahn,7,0,0
Charles Brabin,122,0,0
Albert Magnoli,16,1,1
Kunal Deshmukh,4,0,0
Greg Mottola,14,4,8
Morgan Freeman,2,80,61
María Lidón,3,5,2
Ken Scott,1,0,0
Giacomo Ciarrapico,6,2,0
Conor McPherson,4,8,7
Youssef Delara,8,3,1
Jon Wright,9,4,3
Mikel Rueda,9,3,0
Jerry Zucker,7,6,7
Sion Sono,52,23,27
Jean-Jacques Annaud,17,3,18
Travis Zariwny,11,0,0
Peter Sullivan,29,1,1
Babak Najafi,13,3,5
Eddy Terstall,16,6,5
Geoff Murphy,24,1,2
Desmond Davis,30,4,5
Bob Odenkirk,21,41,15
Kenneth Johnson,2,2,2
Ice Cube,2,25,9
Jerry Jameson,75,0,0
Ted Post,91,4,3
