adult,belongs_to_collection,budget,genres,id,imdb_id,original_language,original_title,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,title,vote_average,vote_count,director,actors
False,True,30000000,"Animation,Comedy,Family",862,tt0114709,en,Toy Story,21.946943,"[{'name': 'Pixar Animation Studios', 'id': 3}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-10-30,373554033.0,81.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Toy Story,7.7,5415.0,['John Lasseter'],"['Tom Hanks', 'Tim Allen', 'Don Rickles']"
False,False,65000000,"Adventure,Fantasy,Family",8844,tt0113497,en,Jumanji,17.015539,"[{'name': 'TriStar Pictures', 'id': 559}, {'name': 'Teitler Film', 'id': 2550}, {'name': 'Interscope Communications', 'id': 10201}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-15,262797249.0,104.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Jumanji,6.9,2413.0,['Joe Johnston'],"['Robin Williams', 'Jonathan Hyde', 'Kirsten Dunst']"
False,False,16000000,"Comedy,Drama,Romance",31357,tt0114885,en,Waiting to Exhale,3.859495,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-22,81452156.0,127.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Waiting to Exhale,6.1,34.0,['Forest Whitaker'],"['Whitney Houston', 'Angela Bassett', 'Loretta Devine']"
False,False,60000000,"Action,Crime,Drama,Thriller",949,tt0113277,en,Heat,17.924927,"[{'name': 'Regency Enterprises', 'id': 508}, {'name': 'Forward Pass', 'id': 675}, {'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-15,187436818.0,170.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Heat,7.7,1886.0,['Michael Mann'],"['Al Pacino', 'Robert De Niro', 'Val Kilmer']"
False,False,35000000,"Action,Adventure,Thriller",9091,tt0114576,en,Sudden Death,5.23158,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Imperial Entertainment', 'id': 21437}, {'name': 'Signature Entertainment', 'id': 23770}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-22,64350171.0,106.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Sudden Death,5.5,174.0,['Peter Hyams'],"['Jean-Claude Van Damme', 'Powers Boothe', 'Dorian Harewood']"
False,True,58000000,"Adventure,Action,Thriller",710,tt0113189,en,GoldenEye,14.686035999999998,"[{'name': 'United Artists', 'id': 60}, {'name': 'Eon Productions', 'id': 7576}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-11-16,352194034.0,130.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}, {'iso_639_1': 'es', 'name': 'Español'}]",GoldenEye,6.6,1194.0,['Martin Campbell'],"['Pierce Brosnan', 'Sean Bean', 'Izabella Scorupco']"
False,False,62000000,"Comedy,Drama,Romance",9087,tt0112346,en,The American President,6.318445,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Castle Rock Entertainment', 'id': 97}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-11-17,107879496.0,106.0,"[{'iso_639_1': 'en', 'name': 'English'}]",The American President,6.5,199.0,['Rob Reiner'],"['Michael Douglas', 'Annette Bening', 'Michael J. Fox']"
False,False,44000000,"History,Drama",10858,tt0113987,en,Nixon,5.092,"[{'name': 'Hollywood Pictures', 'id': 915}, {'name': 'Cinergi Pictures Entertainment', 'id': 1504}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-22,13681765.0,192.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Nixon,7.1,72.0,['Oliver Stone'],"['Anthony Hopkins', 'Joan Allen', 'Powers Boothe']"
False,False,98000000,"Action,Adventure",1408,tt0112760,en,Cutthroat Island,7.284477000000001,"[{'name': 'Le Studio Canal+', 'id': 183}, {'name': 'Laurence Mark Productions', 'id': 415}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}, {'name': 'Carolco Pictures', 'id': 14723}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'IT', 'name': 'Italy'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-22,10017322.0,119.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'la', 'name': 'Latin'}]",Cutthroat Island,5.7,137.0,['Renny Harlin'],"['Geena Davis', 'Matthew Modine', 'Frank Langella']"
False,False,52000000,"Drama,Crime",524,tt0112641,en,Casino,10.137389,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Légende Entreprises', 'id': 10898}, {'name': 'Syalis DA', 'id': 11583}, {'name': 'De Fina-Cappa', 'id': 11584}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-11-22,116112375.0,178.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Casino,7.8,1343.0,['Martin Scorsese'],"['Robert De Niro', 'Sharon Stone', 'Joe Pesci']"
