title,original_title,budget,revenue,profit,success,belongs_to_collection,count_language,runtime,genre,genre_encode,genres,release_date,director,actors,actorAwardNominations,actorAwardWins,actorMovies,directorAwardNominations,directorAwardWins,directorMovies
Toy Story,Toy Story,30000000,373554033.0,343554033.0,1,1,1,81.0,Animation,2,"Animation,Comedy,Family",1995-10-30,John Lasseter,Tom Hanks,152,84,88,33,37,19
Jumanji,Jumanji,65000000,262797249.0,197797249.0,1,0,2,104.0,Adventure,1,"Adventure,Fantasy,Family",1995-12-15,Joe Johnston,Robin Williams,86,64,108,7,2,15
Waiting to Exhale,Waiting to Exhale,16000000,81452156.0,65452156.0,1,0,1,127.0,Comedy,3,"Comedy,Drama,Romance",1995-12-22,Forest Whitaker,Whitney Houston,43,18,50,56,56,6
Heat,Heat,60000000,187436818.0,127436818.0,1,0,2,170.0,Action,0,"Action,Crime,Drama,Thriller",1995-12-15,Michael Mann,Al Pacino,71,46,59,36,21,22
Sudden Death,Sudden Death,35000000,64350171.0,29350171.0,1,0,1,106.0,Action,0,"Action,Adventure,Thriller",1995-12-22,Peter Hyams,Jean-Claude Van Damme,9,2,71,7,1,24
GoldenEye,GoldenEye,58000000,352194034.0,294194034.0,1,1,3,130.0,Adventure,1,"Adventure,Action,Thriller",1995-11-16,Martin Campbell,Pierce Brosnan,22,21,85,2,3,34
The American President,The American President,62000000,107879496.0,45879496.0,1,0,1,106.0,Comedy,3,"Comedy,Drama,Romance",1995-11-17,Rob Reiner,Michael Douglas,42,50,60,28,26,26
Nixon,Nixon,44000000,13681765.0,-30318235.0,0,0,1,192.0,History,10,"History,Drama",1995-12-22,Oliver Stone,Anthony Hopkins,63,50,134,57,61,31
Cutthroat Island,Cutthroat Island,98000000,10017322.0,-87982678.0,0,0,2,119.0,Action,0,"Action,Adventure",1995-12-22,Renny Harlin,Geena Davis,30,10,48,12,3,32
Casino,Casino,52000000,116112375.0,64112375.0,1,0,1,178.0,Drama,6,"Drama,Crime",1995-11-22,Martin Scorsese,Robert De Niro,99,55,116,214,142,61
Sense and Sensibility,Sense and Sensibility,16500000,135000000.0,118500000.0,1,0,1,136.0,Drama,6,"Drama,Romance",1995-12-13,Ang Lee,Kate Winslet,156,87,58,96,103,18
Four Rooms,Four Rooms,4000000,4300000.0,300000.0,1,0,1,98.0,Crime,4,"Crime,Comedy",1995-12-09,Allison Anders,Tim Roth,25,19,104,9,8,30
Ace Ventura: When Nature Calls,Ace Ventura: When Nature Calls,30000000,212385533.0,182385533.0,1,1,1,90.0,Crime,4,"Crime,Comedy,Adventure",1995-11-10,Steve Oedekerk,Jim Carrey,96,48,62,4,2,8
Money Train,Money Train,60000000,35431113.0,-24568887.0,0,0,1,103.0,Action,0,"Action,Comedy,Crime",1995-11-21,Joseph Ruben,Wesley Snipes,12,9,65,3,4,16
Get Shorty,Get Shorty,30250000,115101622.0,84851622.0,1,1,1,105.0,Comedy,3,"Comedy,Thriller,Crime",1995-10-20,Barry Sonnenfeld,John Travolta,58,54,77,11,7,23
Assassins,Assassins,50000000,30303072.0,-19696928.0,0,0,3,132.0,Action,0,"Action,Adventure,Crime,Thriller",1995-10-06,Richard Donner,Sylvester Stallone,65,59,83,7,9,80
Leaving Las Vegas,Leaving Las Vegas,3600000,49800000.0,46200000.0,1,0,1,112.0,Drama,6,"Drama,Romance",1995-10-27,Mike Figgis,Nicolas Cage,65,45,97,25,11,42
Now and Then,Now and Then,12000000,27400000.0,15400000.0,1,0,1,100.0,Comedy,3,"Comedy,Drama,Family",1995-10-20,Lesli Linka Glatter,Christina Ricci,34,19,75,24,7,66
